system:index,grid_id,mean,.geo
0000000000000000002e,GRID_0046,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.218016073464028],[78.24890279387981,17.22702794395378],[78.23945396513481,17.227027938055315],[78.23945396513481,17.21801603530098],[78.24890279387981,17.218016073464028]]]}"
0000000000000000002f,GRID_0047,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.22702794395378],[78.2489027938798,17.23603527516745],[78.23945396513481,17.236035301684176],[78.23945396513481,17.227027938055315],[78.24890279387981,17.22702794395378]]]}"
00000000000000000030,GRID_0048,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.23603527516745],[78.24890279387981,17.245047118182],[78.23945396513481,17.24504717702957],[78.23945396513481,17.236035301684176],[78.2489027938798,17.23603527516745]]]}"
00000000000000000031,GRID_0049,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.245047118182],[78.2489027938798,17.25405450890101],[78.23945396513481,17.25405451147857],[78.23945396513481,17.24504717702957],[78.24890279387981,17.245047118182]]]}"
00000000000000000032,GRID_0050,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.25405450890101],[78.2489027938798,17.263061883847566],[78.23945396513481,17.263061918933985],[78.23945396513481,17.25405451147857],[78.2489027938798,17.25405450890101]]]}"
00000000000000000033,GRID_0051,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.263061883847566],[78.24890279387981,17.27207376897152],[78.23945396513481,17.272073747726626],[78.23945396513481,17.263061918933985],[78.2489027938798,17.263061883847566]]]}"
00000000000000000034,GRID_0052,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.27207376897152],[78.24890279387981,17.2810811104023],[78.23945396513481,17.28108112172909],[78.23945396513481,17.272073747726626],[78.24890279387981,17.27207376897152]]]}"
00000000000000000035,GRID_0053,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.2810811104023],[78.24890279387981,17.290088522684748],[78.23945396513481,17.29008856661398],[78.23945396513481,17.28108112172909],[78.24890279387981,17.2810811104023]]]}"
00000000000000000036,GRID_0054,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.290088522684748],[78.24890279387981,17.29910035475069],[78.23945396513481,17.299100342434503],[78.23945396513481,17.29008856661398],[78.24890279387981,17.290088522684748]]]}"
00000000000000000037,GRID_0055,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.29910035475069],[78.24890279387981,17.308107729245837],[78.23945396513481,17.308107749594853],[78.23945396513481,17.299100342434503],[78.24890279387981,17.29910035475069]]]}"
00000000000000000038,GRID_0056,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.308107729245837],[78.24890279387981,17.31711517246937],[78.23945396513481,17.317115136741936],[78.23945396513481,17.308107749594853],[78.24890279387981,17.308107729245837]]]}"
00000000000000000039,GRID_0057,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.31711517246937],[78.24890279387981,17.326126945060327],[78.23945396513481,17.3261269419457],[78.23945396513481,17.317115136741936],[78.24890279387981,17.31711517246937]]]}"
0000000000000000003a,GRID_0058,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.326126945060327],[78.24890279387981,17.335134346226553],[78.23945396513481,17.335134375870553],[78.23945396513481,17.3261269419457],[78.24890279387981,17.326126945060327]]]}"
0000000000000000003b,GRID_0059,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.335134346226553],[78.24890279387981,17.34414625322487],[78.23945396513481,17.344146226760838],[78.23945396513481,17.335134375870553],[78.24890279387981,17.335134346226553]]]}"
0000000000000000003c,GRID_0060,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.34414625322487],[78.24890279387981,17.353153609487745],[78.23945396513481,17.353153615845006],[78.23945396513481,17.344146226760838],[78.24890279387981,17.34414625322487]]]}"
0000000000000000003d,GRID_0061,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.353153609487745],[78.24890279387981,17.362160942146176],[78.23945396513481,17.362160981357682],[78.23945396513481,17.353153615845006],[78.24890279387981,17.353153609487745]]]}"
0000000000000000003e,GRID_0062,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.362160942146176],[78.24890279387981,17.37117277899805],[78.23945396513481,17.37117285097936],[78.23945396513481,17.362160981357682],[78.24890279387981,17.362160942146176]]]}"
0000000000000000003f,GRID_0063,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.37117277899805],[78.24890279387981,17.380180240071045],[78.23945396513481,17.38018016737732],[78.23945396513481,17.37117285097936],[78.24890279387981,17.37117277899805]]]}"
00000000000000000040,GRID_0064,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.380180240071045],[78.24890279387981,17.38918758661409],[78.23945396513481,17.389187635663113],[78.23945396513481,17.38018016737732],[78.24890279387981,17.380180240071045]]]}"
00000000000000000041,GRID_0065,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.38918758661409],[78.24890279387981,17.398199435716155],[78.23945396513481,17.398199428826423],[78.23945396513481,17.389187635663113],[78.24890279387981,17.38918758661409]]]}"
00000000000000000042,GRID_0066,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.398199435716155],[78.2489027938798,17.407206817623287],[78.23945396513481,17.40720684374129],[78.23945396513481,17.398199428826423],[78.24890279387981,17.398199435716155]]]}"
00000000000000000043,GRID_0067,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.407206817623287],[78.2489027938798,17.416214171664365],[78.23945396513481,17.416214230822973],[78.23945396513481,17.40720684374129],[78.2489027938798,17.407206817623287]]]}"
00000000000000000044,GRID_0068,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.416214171664365],[78.2489027938798,17.425226026627694],[78.23945396513481,17.42522602993099],[78.23945396513481,17.416214230822973],[78.2489027938798,17.416214171664365]]]}"
00000000000000000045,GRID_0069,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.425226026627694],[78.2489027938798,17.434233411781427],[78.23945396513481,17.434233448185527],[78.23945396513481,17.42522602993099],[78.2489027938798,17.425226026627694]]]}"
00000000000000000046,GRID_0070,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.434233411781427],[78.24890279387981,17.44324529676698],[78.23945396513481,17.443245277369538],[78.23945396513481,17.434233448185527],[78.2489027938798,17.434233411781427]]]}"
00000000000000000047,GRID_0071,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.44324529676698],[78.24890279387981,17.45225262138059],[78.23945396513481,17.452252635146422],[78.23945396513481,17.443245277369538],[78.24890279387981,17.44324529676698]]]}"
00000000000000000048,GRID_0072,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.45225262138059],[78.24890279387981,17.46126000340129],[78.23945396513481,17.4612600503609],[78.23945396513481,17.452252635146422],[78.24890279387981,17.45225262138059]]]}"
00000000000000000049,GRID_0073,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.46126000340129],[78.24890279387981,17.470271883613126],[78.23945396513481,17.470271874854575],[78.23945396513481,17.4612600503609],[78.24890279387981,17.46126000340129]]]}"
0000000000000000004a,GRID_0074,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.470271883613126],[78.2489027938798,17.479279289668025],[78.23945396513481,17.479279225332775],[78.23945396513481,17.470271874854575],[78.24890279387981,17.470271883613126]]]}"
0000000000000000004b,GRID_0075,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.479279289668025],[78.2489027938798,17.48828666218147],[78.23945396513481,17.488286631129707],[78.23945396513481,17.479279225332775],[78.2489027938798,17.479279289668025]]]}"
0000000000000000004c,GRID_0076,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.48828666218147],[78.2489027938798,17.49729853124303],[78.23945396513481,17.497298533390232],[78.23945396513481,17.488286631129707],[78.2489027938798,17.48828666218147]]]}"
0000000000000000004d,GRID_0077,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.49729853124303],[78.2489027938798,17.50630592354314],[78.23945396513481,17.50630587019696],[78.23945396513481,17.497298533390232],[78.2489027938798,17.49729853124303]]]}"
0000000000000000004e,GRID_0078,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.50630592354314],[78.24890279387981,17.515313280174162],[78.23945396513481,17.515313260204277],[78.23945396513481,17.50630587019696],[78.2489027938798,17.50630592354314]]]}"
0000000000000000004f,GRID_0079,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.515313280174162],[78.24890279387981,17.524325131707958],[78.23945396513481,17.52432514502982],[78.23945396513481,17.515313260204277],[78.24890279387981,17.515313280174162]]]}"
00000000000000000050,GRID_0080,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.524325131707958],[78.24890279387981,17.533332503879613],[78.23945396513481,17.53333246179138],[78.23945396513481,17.52432514502982],[78.24890279387981,17.524325131707958]]]}"
00000000000000000051,GRID_0081,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.533332503879613],[78.24890279387981,17.542344369857865],[78.23945396513481,17.542344361121387],[78.23945396513481,17.53333246179138],[78.24890279387981,17.533332503879613]]]}"
00000000000000000052,GRID_0082,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.542344369857865],[78.24890279387981,17.551351754744243],[78.23945396513481,17.55135169065138],[78.23945396513481,17.542344361121387],[78.24890279387981,17.542344369857865]]]}"
00000000000000000053,GRID_0083,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.551351754744243],[78.2489027938798,17.560359100419188],[78.23945396513481,17.56035906985527],[78.23945396513481,17.55135169065138],[78.24890279387981,17.551351754744243]]]}"
00000000000000000054,GRID_0084,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.560359100419188],[78.24890279387981,17.569370938251527],[78.23945396513481,17.56937094113198],[78.23945396513481,17.56035906985527],[78.2489027938798,17.560359100419188]]]}"
00000000000000000055,GRID_0085,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.569370938251527],[78.24890279387981,17.578378292397655],[78.23945396513481,17.578378328870073],[78.23945396513481,17.56937094113198],[78.24890279387981,17.569370938251527]]]}"
00000000000000000056,GRID_0086,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.578378292397655],[78.24890279387981,17.58738569407731],[78.23945396513481,17.587385675303825],[78.23945396513481,17.578378328870073],[78.24890279387981,17.578378292397655]]]}"
00000000000000000057,GRID_0087,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.58738569407731],[78.24890279387981,17.59639758626903],[78.23945396513481,17.596397601030144],[78.23945396513481,17.587385675303825],[78.24890279387981,17.58738569407731]]]}"
00000000000000000058,GRID_0088,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.20000132511725],[78.25835607048161,17.20900866251986],[78.2489027938798,17.20900871586073],[78.24890279387981,17.200001346047824],[78.25835607048161,17.20000132511725]]]}"
00000000000000000059,GRID_0089,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.20900866251986],[78.25835607048161,17.218016076420035],[78.24890279387981,17.218016073464028],[78.2489027938798,17.20900871586073],[78.25835607048161,17.20900866251986]]]}"
0000000000000000005a,GRID_0090,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.218016076420035],[78.25835607048161,17.227027914554032],[78.24890279387981,17.22702794395378],[78.24890279387981,17.218016073464028],[78.25835607048161,17.218016076420035]]]}"
0000000000000000005b,GRID_0091,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.227027914554032],[78.25835607048161,17.2360353020084],[78.2489027938798,17.23603527516745],[78.24890279387981,17.22702794395378],[78.25835607048161,17.227027914554032]]]}"
0000000000000000005c,GRID_0092,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.2360353020084],[78.25835607048161,17.24504711260429],[78.24890279387981,17.245047118182],[78.2489027938798,17.23603527516745],[78.25835607048161,17.2360353020084]]]}"
0000000000000000005d,GRID_0093,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.24504711260429],[78.25835607048161,17.25405455951013],[78.2489027938798,17.25405450890101],[78.24890279387981,17.245047118182],[78.25835607048161,17.24504711260429]]]}"
0000000000000000005e,GRID_0094,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.25405455951013],[78.25835607048161,17.26306190186004],[78.2489027938798,17.263061883847566],[78.2489027938798,17.25405450890101],[78.25835607048161,17.25405455951013]]]}"
0000000000000000005f,GRID_0095,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.26306190186004],[78.25835607048161,17.272073754471688],[78.24890279387981,17.27207376897152],[78.2489027938798,17.263061883847566],[78.25835607048161,17.26306190186004]]]}"
00000000000000000060,GRID_0096,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.272073754471688],[78.25835607048161,17.28108115200341],[78.24890279387981,17.2810811104023],[78.24890279387981,17.27207376897152],[78.25835607048161,17.272073754471688]]]}"
00000000000000000061,GRID_0097,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.28108115200341],[78.25835607048161,17.29008853159564],[78.24890279387981,17.290088522684748],[78.24890279387981,17.2810811104023],[78.25835607048161,17.28108115200341]]]}"
00000000000000000062,GRID_0098,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.29008853159564],[78.25835607048161,17.299100331053413],[78.24890279387981,17.29910035475069],[78.24890279387981,17.290088522684748],[78.25835607048161,17.29008853159564]]]}"
00000000000000000063,GRID_0099,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.299100331053413],[78.25835607048161,17.308107761565946],[78.24890279387981,17.308107729245837],[78.24890279387981,17.29910035475069],[78.25835607048161,17.299100331053413]]]}"
00000000000000000064,GRID_0100,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.308107761565946],[78.25835607048161,17.317115172005792],[78.24890279387981,17.31711517246937],[78.24890279387981,17.308107729245837],[78.25835607048161,17.308107761565946]]]}"
00000000000000000065,GRID_0101,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.317115172005792],[78.25835607048161,17.32612700067308],[78.24890279387981,17.326126945060327],[78.24890279387981,17.31711517246937],[78.25835607048161,17.317115172005792]]]}"
00000000000000000066,GRID_0102,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.32612700067308],[78.25835607048161,17.335134368992907],[78.24890279387981,17.335134346226553],[78.24890279387981,17.326126945060327],[78.25835607048161,17.32612700067308]]]}"
00000000000000000067,GRID_0103,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.335134368992907],[78.25835607048161,17.344146243229208],[78.24890279387981,17.34414625322487],[78.24890279387981,17.335134346226553],[78.25835607048161,17.335134368992907]]]}"
00000000000000000068,GRID_0104,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.344146243229208],[78.25835607048161,17.35315356657974],[78.24890279387981,17.353153609487745],[78.24890279387981,17.34414625322487],[78.25835607048161,17.344146243229208]]]}"
00000000000000000069,GRID_0105,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.35315356657974],[78.25835607048161,17.36216095508624],[78.24890279387981,17.362160942146176],[78.24890279387981,17.353153609487745],[78.25835607048161,17.35315356657974]]]}"
0000000000000000006a,GRID_0106,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.36216095508624],[78.25835607048161,17.37117284787712],[78.24890279387981,17.37117277899805],[78.24890279387981,17.362160942146176],[78.25835607048161,17.36216095508624]]]}"
0000000000000000006b,GRID_0107,,"{""type"":""Polygon"",""coordinates"":[[[78.25835607048161,17.37117284787712],[78.25835607048161,17.3801801871502],[78.24890279387981,17.380180240071045],[78.24890279387981,17.37117277899805],[78.25835607048161,17.37117284787712]]]}"
